name,dosage,forme,presentation,price,remboursement,dci,type,prescription_required
SINTROM,4 mg,Comprimes secables,B/20,1.76,1.394,ACENOCOUMAROL,Anticoagulants,true
SIPRODIS,500 mg,Comprimes pellicules secables,B/14,9.34,7.783,CIPROFLOXACINE,Antibiotiques,true
SKENAN LP,10 mg,Gelules à liberation prolongee,B/14,14.402,14.402,MORPHINE,Analgésiques (antidouleurs),false
SKENAN LP,30 mg,Gelules à liberation prolongee,B/14,35.033,35.033,MORPHINE,Analgésiques (antidouleurs),false
SKENAN LP,60 mg,Gelules à liberation prolongee,B/14,68.869,68.869,MORPHINE,Analgésiques (antidouleurs),false
SMACTYL,3 g,Poudre pour suspension orale,B/12 sachets,4.615,1.234,DIOSMECTITE,Antidiarrhéiques,false
SMACTYL,3 g,Poudre pour suspension orale,B/30 sachets,4.615,1.234,DIOSMECTITE,Antidiarrhéiques,false
SMECTA ORANGE-VANILLE,3 g,Poudre pour suspension orale,B/30 sachets,7.735,3.084,DIOSMECTITE,Antidiarrhéiques,false
SOLARID,200 mg,Comprimes secables,B/30,36.58,27.948,AMISULPRIDE,Antipsychotiques,true
SOLARID,200 mg,Comprimes secables,B/60,65.775,55.896,AMISULPRIDE,Antipsychotiques,true
SOLARID 100,100 mg,Comprimes secables,B/30,26.15,22.21,AMISULPRIDE,Antipsychotiques,true
SOLARID 400,400 mg,Comprimes pellicules secables,B/30,73.925,54.825,AMISULPRIDE,Antipsychotiques,true
SOLFICINE,10 mg,Comprimes pellicules,B/30,35.14,29.86,SOLIFENACINE SUCCINATE,Antispasmodiques,false
SOLFICINE,5 mg,Comprimes pellicules,B/30,35.14,29.86,SOLIFENACINE SUCCINATE,Antispasmodiques,false
SOLIAN,100 mg,Comprimes secables,B/30,59.885,22.21,AMISULPRIDE,Antipsychotiques,true
SOLIAN,400 mg,Comprimes pellicules secables,B/30,173.055,54.825,AMISULPRIDE,Antipsychotiques,true
SOLICARE,10 mg,Comprimes pellicules,B/30,51.04,29.86,SOLIFENACINE SUCCINATE,Antispasmodiques,false
SOLICARE,5 mg,Comprimes pellicules,B/30,51.04,29.86,SOLIFENACINE SUCCINATE,Antispasmodiques,false
SOLOTIK,100 mg,Comprimes pellicules secables,FL/15,21.7,15.759,SERTRALINE,Antidépresseurs,true
SOLOTIK,50 mg,Comprimes pellicules secables,FL/15,12.065,8.861,SERTRALINE,Antidépresseurs,true
SOLOTIK,50 mg,Comprimes pellicules secables,FL/30,21.7,17.723,SERTRALINE,Antidépresseurs,true
SOLU-MEDROL,20 mg/2 ml,Pdre p.prep.injectable,B/1 FL + solv/2 ml,2.13,1.776,METHYLPREDNISOLONE,Corticoïdes,true
SOLU-MEDROL,40 mg/2 ml,Pdre p.prep.injectable,B/1 FL + solv/2 ml,3.1,2.635,METHYLPREDNISOLONE,Corticoïdes,true
SOLUPRED,5 mg,Comprimes effervescents,FL/30,6.47,5.38,PREDNISOLONE,Corticoïdes,true
SOTALOL,160 mg,Comprimes secables,B/30,10.645,9.027,SOTALOL,Antihypertenseurs,true
SPACINOL,80 mg,Comprimes orodispersibles,B/10,3.23,0.984,PHLOROGLUCINOL,Antispasmodiques,false
